Region Name,Region Code,2019 population
England,UK_ENG,55980000
Northern Ireland,UK_NIR,1876000
Scotland,UK_SCO,5437000
Wales,UK_WAL,3127000
Acre,BR_AC,894470
Alagoas,BR_AL,3351543
Amazonas,BR_AM,4207714
Amapa,BR_AP,861773
Bahia,BR_BA,14930634
Ceara,BR_CE,9187103
Distrito Federal,BR_DF,3055149
Espirito Santo,BR_ES,4064052
Goias,BR_GO,7113540
Maranhao,BR_MA,7114598
Minas Gerais,BR_MG,21292666
Mato Grosso do Sul,BR_MS,2809394
Mato Grosso,BR_MT,3526220
Para,BR_PA,8690745
Paraiba,BR_PB,4039277
Pernambuco,BR_PE,9616621
Piaui,BR_PI,3281480
Parana,BR_PR,11516840
Rio de Janeiro,BR_RJ,17366189
Rio Grande do Norte,BR_RN,3534165
Rondonia,BR_RO,1796460
Roraima,BR_RR,631181
Rio Grande do Sul,BR_RS,11422973
Santa Catarina,BR_SC,7252502
Sergipe,BR_SE,2318822
Sao Paolo,BR_SP,46289333
Tocantins,BR_TO,1590248
